periodo,producto,rating_count,rating_mean,rating_std,rating_min,rating_max,useful_votes_sum,useful_votes_mean,useful_votes_median,useful_votes_max,text_length_mean,text_length_median,text_length_std,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_min,sentiment_polarity_max,sentiment_subjectivity_mean,sentiment_category_<lambda>,volatility_rating,engagement_ratio,sentiment_rating_alignment,text_engagement_ratio
2022-12,Motorola G32,1,5.0,,5,5,17,17.0,17.0,17,12.0,12.0,,0.0,,0.0,0.0,0.0,{'Neutral': 1.0},,17.0,-1.0,1.4166666666666667
2023-01,Motorola G32,3,5.0,0.0,5,5,24,8.0,9.0,13,8.333,9.0,2.082,0.111,0.192,0.0,0.333,0.222,"{'Neutral': 0.6666666666666666, 'Positivo': 0.3333333333333333}",0.0,8.0,-0.889,0.9600384015360615
2023-02,Motorola G32,5,4.4,0.548,4,5,49,9.8,3.0,22,12.0,9.0,10.654,0.0,0.0,0.0,0.0,0.0,{'Neutral': 1.0},0.12454545454545454,9.8,-0.7000000000000002,0.8166666666666668
2023-03,Motorola G32,2,4.5,0.707,4,5,6,3.0,3.0,4,35.0,35.0,28.284,0.0,0.0,0.0,0.0,0.0,{'Neutral': 1.0},0.1571111111111111,3.0,-0.75,0.08571428571428572
2023-04,Motorola G32,4,4.75,0.5,4,5,37,9.25,8.5,19,37.25,21.0,43.828,0.083,0.167,0.0,0.333,0.167,"{'Neutral': 0.75, 'Positivo': 0.25}",0.10526315789473684,9.25,-0.792,0.2483221476510067
2023-05,Motorola G32,4,3.0,1.414,1,4,12,3.0,2.0,8,15.0,15.0,12.247,0.0,0.0,0.0,0.0,0.0,{'Neutral': 1.0},0.4713333333333333,3.0,0.0,0.2
2023-06,Motorola G32,31,4.194,1.078,1,5,552,17.806,1.0,346,17.935,15.0,16.747,-0.032,0.18,-1.0,0.0,0.032,"{'Neutral': 0.967741935483871, 'Negativo': 0.03225806451612903}",0.257033857892227,17.806451612903224,-0.629,0.9928073599107891
2023-07,Motorola G32,19,3.526,1.541,1,5,184,9.684,1.0,64,44.632,13.0,56.896,0.003,0.011,0.0,0.05,0.05,{'Neutral': 1.0},0.4370391378332388,9.68421052631579,-0.2599999999999999,0.21697436816633806
2023-08,Motorola G32,27,3.667,1.177,1,5,664,24.593,1.0,269,31.259,25.0,27.769,0.009,0.077,-0.189,0.333,0.071,"{'Neutral': 0.9259259259259259, 'Positivo': 0.037037037037037035, 'Negativo': 0.037037037037037035}",0.32097082083446965,24.59259259259259,-0.3244999999999999,0.7867494161681435
2023-09,Motorola G32,28,4.0,1.388,1,5,133,4.75,3.0,32,13.107,7.0,12.396,0.023,0.098,0.0,0.5,0.044,"{'Neutral': 0.9285714285714286, 'Positivo': 0.07142857142857142}",0.347,4.75,-0.477,0.36240177004654006
2023-10,Motorola G32,41,3.902,1.044,1,5,138,3.366,0.0,91,16.537,16.0,12.246,0.032,0.24,-1.0,0.9,0.11,"{'Neutral': 0.8536585365853658, 'Positivo': 0.12195121951219512, 'Negativo': 0.024390243902439025}",0.2675550999487442,3.3658536585365852,-0.41900000000000004,0.20354356896655984
2023-11,Motorola G32,68,3.838,0.84,1,5,74,1.088,0.0,51,19.206,10.5,27.278,0.037,0.154,-0.133,0.9,0.069,"{'Neutral': 0.9117647058823529, 'Positivo': 0.07352941176470588, 'Negativo': 0.014705882352941176}",0.21886399166232412,1.088235294117647,-0.38200000000000006,0.056648963865458715
2023-12,Motorola G32,41,3.488,1.003,1,5,12,0.293,0.0,5,18.634,13.0,17.303,0.017,0.075,0.0,0.35,0.048,"{'Neutral': 0.9512195121951219, 'Positivo': 0.04878048780487805}",0.28755733944954126,0.2926829268292683,-0.22699999999999998,0.01572394547601159
2024-01,Motorola G32,23,3.609,0.839,1,5,6,0.261,0.0,5,17.435,15.0,15.114,0.021,0.075,0.0,0.333,0.057,"{'Neutral': 0.9130434782608695, 'Positivo': 0.08695652173913043}",0.23247436963147686,0.2608695652173913,-0.2835,0.014969888156008032
2024-02,Motorola G32,12,3.5,1.243,1,5,2,0.167,0.0,1,19.5,13.5,19.421,0.004,0.014,0.0,0.05,0.042,{'Neutral': 1.0},0.35514285714285715,0.16666666666666666,-0.246,0.008564102564102564
2024-03,Motorola G32,11,3.273,1.104,1,4,3,0.273,0.0,2,15.818,14.0,11.223,0.045,0.151,0.0,0.5,0.045,"{'Neutral': 0.9090909090909091, 'Positivo': 0.09090909090909091}",0.33730522456461964,0.2727272727272727,-0.09150000000000007,0.01725881906688583
2024-04,Motorola G32,10,3.3,1.418,1,5,3,0.3,0.0,2,21.6,12.0,24.82,0.065,0.16,0.0,0.5,0.115,"{'Neutral': 0.8, 'Positivo': 0.2}",0.4296969696969697,0.3,-0.08499999999999991,0.013888888888888888
2024-04,Samsung A15,1,5.0,,5,5,5,5.0,5.0,5,2.0,2.0,,0.0,,0.0,0.0,0.0,{'Neutral': 1.0},,5.0,-1.0,2.5
2024-05,Motorola G32,6,3.0,1.549,1,4,6,1.0,0.0,4,20.333,12.5,20.196,0.0,0.0,0.0,0.0,0.0,{'Neutral': 1.0},0.5163333333333333,1.0,0.0,0.04918113411695274
2024-05,Samsung A15,1,5.0,,5,5,5,5.0,5.0,5,2.0,2.0,,0.0,,0.0,0.0,0.0,{'Neutral': 1.0},,5.0,-1.0,2.5
2024-06,Motorola G32,6,2.833,1.169,1,4,1,0.167,0.0,1,17.667,15.5,12.242,0.0,0.0,0.0,0.0,0.0,{'Neutral': 1.0},0.4126367807977409,0.16666666666666666,0.08349999999999991,0.009452651836757796
2024-06,Samsung A15,2,5.0,0.0,5,5,15,7.5,7.5,13,5.5,5.5,4.95,0.167,0.236,0.0,0.333,0.333,"{'Positivo': 0.5, 'Neutral': 0.5}",0.0,7.5,-0.833,1.3636363636363635
2024-07,Motorola G32,5,3.8,0.447,3,4,0,0.0,0.0,0,7.0,8.0,3.0,0.0,0.0,0.0,0.0,0.015,{'Neutral': 1.0},0.11763157894736843,0.0,-0.3999999999999999,0.0
2024-07,Samsung A15,11,4.182,1.401,1,5,804,73.091,8.0,617,8.364,6.0,6.153,0.03,0.101,0.0,0.333,0.061,"{'Neutral': 0.9090909090909091, 'Positivo': 0.09090909090909091}",0.33500717360114773,73.0909090909091,-0.5610000000000002,8.738761358201815
2024-08,Motorola G32,8,3.25,1.282,1,5,2,0.25,0.0,2,31.5,13.0,44.13,0.088,0.181,0.0,0.5,0.1,"{'Neutral': 0.75, 'Positivo': 0.25}",0.3944615384615385,0.25,-0.037000000000000005,0.007936507936507936
2024-08,Samsung A15,21,3.619,1.322,1,5,220,10.476,2.0,94,13.619,12.0,7.921,0.034,0.107,0.0,0.375,0.067,"{'Neutral': 0.9047619047619048, 'Positivo': 0.09523809523809523}",0.3652942801878972,10.476190476190476,-0.2755000000000001,0.7692194727953595
2024-09,Motorola G32,7,4.0,1.528,1,5,1,0.143,0.0,1,18.714,14.0,17.056,0.0,0.0,0.0,0.0,0.0,{'Neutral': 1.0},0.382,0.14285714285714285,-0.5,0.007641338035695201
2024-09,Samsung A15,31,3.581,1.501,1,5,836,26.968,10.0,433,23.452,13.0,28.154,0.035,0.101,0.0,0.333,0.103,"{'Neutral': 0.9032258064516129, 'Positivo': 0.0967741935483871}",0.41915666015079583,26.967741935483872,-0.25549999999999995,1.149923247484223
2024-10,Motorola G32,23,4.696,0.559,3,5,0,0.0,0.0,0,18.391,7.0,24.865,0.014,0.07,0.0,0.333,0.042,"{'Neutral': 0.9565217391304348, 'Positivo': 0.043478260869565216}",0.11903747870528111,0.0,-0.8339999999999999,0.0
2024-10,Samsung A15,64,3.281,1.386,1,5,360,5.625,1.0,72,17.234,12.0,22.39,0.03,0.105,0.0,0.6,0.07,"{'Neutral': 0.90625, 'Positivo': 0.09375}",0.42243218530935683,5.625,-0.11050000000000007,0.3263896947893698
2024-11,Motorola G32,29,4.414,1.119,1,5,0,0.0,0.0,0,14.034,12.0,9.653,0.049,0.155,0.0,0.7,0.08,"{'Neutral': 0.896551724137931, 'Positivo': 0.10344827586206896}",0.25351155414589943,0.0,-0.6579999999999998,0.0
2024-11,Samsung A15,50,2.7,1.555,1,5,264,5.28,2.0,22,16.52,13.0,12.403,0.02,0.08,0.0,0.333,0.042,"{'Neutral': 0.94, 'Positivo': 0.06}",0.5759259259259258,5.28,0.1699999999999999,0.3196125907990315
2024-12,Motorola G32,22,4.455,0.8,3,5,0,0.0,0.0,0,12.409,10.0,10.386,0.018,0.075,0.0,0.35,0.048,"{'Neutral': 0.9545454545454546, 'Positivo': 0.045454545454545456}",0.17957351290684626,0.0,-0.7095,0.0
2024-12,Samsung A15,67,3.134,1.507,1,5,157,2.343,1.0,19,18.91,15.0,15.377,0.023,0.086,0.0,0.375,0.052,"{'Neutral': 0.9253731343283582, 'Positivo': 0.07462686567164178}",0.48085513720485,2.343283582089552,-0.04399999999999995,0.12390269698572184
2025-01,Motorola G32,14,4.571,0.852,2,5,0,0.0,0.0,0,15.214,7.5,17.507,0.048,0.121,0.0,0.333,0.095,"{'Neutral': 0.8571428571428571, 'Positivo': 0.14285714285714285}",0.18639247429446512,0.0,-0.7374999999999998,0.0
2025-01,Samsung A15,54,3.352,1.246,1,5,226,4.185,0.0,170,21.185,14.5,27.423,-0.007,0.166,-1.0,0.5,0.061,"{'Neutral': 0.9259259259259259, 'Positivo': 0.037037037037037035, 'Negativo': 0.037037037037037035}",0.3717183770883055,4.185185185185185,-0.18299999999999994,0.19754543308945008
2025-02,Motorola G32,11,4.818,0.405,4,5,2,0.182,0.0,1,12.091,9.0,13.315,0.03,0.101,0.0,0.333,0.061,"{'Neutral': 0.9090909090909091, 'Positivo': 0.09090909090909091}",0.08405977584059778,0.18181818181818182,-0.8789999999999998,0.015052518402117278
2025-02,Samsung A15,81,3.469,1.184,1,5,28,0.346,0.0,7,15.679,10.0,15.718,0.033,0.133,0.0,0.9,0.061,"{'Neutral': 0.9259259259259259, 'Positivo': 0.07407407407407407}",0.3413087345056212,0.345679012345679,-0.20149999999999993,0.0220677339116015
2025-03,Motorola G32,7,4.429,0.535,4,5,0,0.0,0.0,0,20.857,20.0,22.901,0.048,0.126,0.0,0.333,0.095,"{'Neutral': 0.8571428571428571, 'Positivo': 0.14285714285714285}",0.12079476179724542,0.0,-0.6665000000000001,0.0
2025-03,Samsung A15,95,3.453,1.218,1,5,23,0.242,0.0,4,14.853,9.0,15.961,0.026,0.102,-0.233,0.5,0.076,"{'Neutral': 0.9052631578947369, 'Positivo': 0.08421052631578947, 'Negativo': 0.010526315789473684}",0.3527367506516073,0.24210526315789474,-0.20049999999999993,0.016293004780179088
2025-04,Motorola G32,19,4.632,0.761,2,5,0,0.0,0.0,0,13.737,5.0,14.2,0.018,0.076,0.0,0.333,0.035,"{'Neutral': 0.9473684210526315, 'Positivo': 0.05263157894736842}",0.16429188255613128,0.0,-0.7979999999999998,0.0
2025-04,Samsung A15,120,4.183,1.069,1,5,1,0.008,0.0,1,14.775,9.0,17.056,0.036,0.11,0.0,0.5,0.071,"{'Neutral': 0.8916666666666667, 'Positivo': 0.10833333333333334}",0.25555821180970595,0.008333333333333333,-0.5554999999999999,0.0005414551607445009
