atributo,polaridad,producto,ejemplo
bateria,positiva,Motorola G32,"Es un espectáculo, como lo imaginé y mucho más, la cámara es espectacular, fino, delicado, veloz, buena pantalla, la verdad nada negativo, espero q este comentario los ayude a decidir, sinceramente una belleza, la batería dura mucho tiempo, eso q le ..."
bateria,positiva,Motorola G32,"Muy bien celular en relación precio y calidad. Única observación es que la batería no dura mucho, si se usa mucho no llega al día, se descarga un 1% con tres minutos de uso. Led recomiendo cuidar la batería desde el día uno: no dejar que la batería l..."
bateria,positiva,Motorola G32,"Muy conforme con el mot g 32. Velocidad súper. Camara excelente. La batería dura 2 días con uso normal. No me arrepiento de haberlo comprado y lo recomiendo porque trae cargador y funda, así no tenes gastos extras !."
bateria,positiva,Motorola G32,El teléfono es rapidísimo para realizar todas las tareas (aclaro que no lo uso para juegos). La batería dura un montón y además carga muy rápido también. Las cámaras bastante bien y mejoran todavía más instalando la gcam. Mejor relación calidad preci...
bateria,positiva,Motorola G32,"Motorola nada más que decir. Calidad de gama media baja, no esperes gran cosa de la cámara. Buena batería , sonido 10/10, cómodo."
bateria,positiva,Motorola G32,"Es un teléfono que te salva, tenía un g8 y no hay diferencia, la batería dura 24, no usándolo mucho, en este sentido esperaba que durara más. El sonido es bueno. Y la cámara no me deslumbra."
bateria,positiva,Motorola G32,"Hace una semana que lo tengo así que mucho no puedo opinar, pero vamos muy bien solo la batería no dura mucho. Pero ahí vamos."
bateria,positiva,Motorola G32,Buena relación calidad-precio. No lo uso para jugar. Redes sociales y llamadas. La batería realmente dura mucho. Mucha memoria. Recomendable.
bateria,positiva,Motorola G32,"Buen producto calidad precio. No es el más básico ni tiene las peores cámaras como los nuevos que tienen el mismo precio. Es bastante completo para el segmento y la batería dura más de un día en uso extremo sin privarse de juegos, cámaras, llamadas o..."
bateria,positiva,Motorola G32,"Muy recomendable, tiene una muy buena batería y un cargador increíble que es de 33w que carga en una hora y media más o menos y te dura para todo el día, anda muy fluido y anda bien para los juegos, la verdad muy bueno👍🏼."
bateria,positiva,Motorola G32,"Para el precio es muy buen equipo, el tema don las actualizaciones, cada vez que lo encendes entra a cualquier app, la batería dura un día y un poco y eso que lo utilizó poco. Es un equipo recomendable para un uso medido."
bateria,positiva,Motorola G32,"En general estoy muy conforme con el celular, no le pongo todo 5 porque pensé que la batería duraría más (o sea dura bastante, está bueno, pero creía que diaria más) y la cámara es genial solo que no deja de ser una cámara de celular. Reitero, son cr..."
bateria,positiva,Motorola G32,Lo mas lindo es la cámara. La bateria dura bastante.
bateria,positiva,Motorola G32,"Lo compré para regalar, así que no puedo dar mayores datos. Me comentan que funciona bien, la batería dura lo esperado y tiene buena recepción."
bateria,positiva,Motorola G32,Buena relación precio calida todo según lo esperado funciona muy bien es rápido y la batería dura un montón.
bateria,positiva,Motorola G32,"Buena relación precio calidad,cumple su función. Buena batería."
bateria,positiva,Motorola G32,Esta bueno el celular noto que la batería no dura mucho lo demás todavía lo estoy descubriendo.
bateria,positiva,Motorola G32,"Tuve un problema con un parlante, el audio cuando lo escuchas al oido se escucha como con interferencia. Crei que la bateria duraba mas pero está re bien, carga en dos pedos. La camara está genial y la velocidad del dispositivo esta bastante bien, pe..."
bateria,positiva,Samsung A15,"Esta muy lindo. La cámara linda ,la batería dura un día con uso !! x el precio es muy bueno 👌 lastima vino con un cable usb solo pero es un detalle no. Mas."
bateria,positiva,Samsung A15,El producto esta muy bueno lo único que no le dura mucho la batería.
bateria,positiva,Samsung A15,"Tiene menos de una semana. Esperaba que sea más grande, y ojo que la batería no dura mucho, dura lo mismo que un promedio. Esperaba que sea más rendidor. Tiene buena cámara. Viene con el cable usb pero sin adaptador, hay que comprarle aparte."
bateria,positiva,Samsung A15,"Excelente celular por el precio , buena batería, saca fotos buenas , y los más que me encanta es que tiene nfc 👌."
bateria,positiva,Samsung A15,"Trabajo en herrería, necesitaba un celu para guerrear el día a día, buena cámara para las redes y hacer publicidad. Hace 1 mes lo tengo y la verdad bárbaro. No trae cargador, asi que tuve que gastar en uno $35 000 y lo carga rapidísimo. Dura todo el ..."
bateria,positiva,Samsung A15,"La batería dura mucho, excelente pantalla amoled, en ese rango de precio es de lejos la mejor pantalla. El nfc es un bueno adicional también. El lector de huellas funciona muy bien. No tiene gorila glass y los 4gb de ram se notan, si abris youtube y ..."
bateria,positiva,Samsung A15,Muy buena batería memoria y calidad de imagen.
bateria,positiva,Samsung A15,"La verdad lo tengo hace una semana y funciona muy bien si lo queres por la cámara este no es tu cel , la batería dura un montón muy buena."
bateria,positiva,Samsung A15,Es un celu medio pelo para zafar funciona. La batería dura casi 2 días es normal estéticamente hablando. No trae cargador es un garrón.
bateria,positiva,Samsung A15,No me agradan los colores de las fotos. La batería no dura mucho cargada. Tengo que recargar una vez al día con un uso medianamente moderado del aparato.
bateria,positiva,Samsung A15,"Me gusta pero no me encanta. La batería dura poco, fotos saca medio pelo. No es lo que esperaba."
bateria,positiva,Samsung A15,"Disconforme. La batería dura todo el día, pero igual dura la de mi teléfono viejo q tiene 3 años. Se pone lento con poco."
bateria,positiva,Samsung A15,"Excelente equipo nunca compro samsung por el sistema que tiene y no me equivoque en eso ya que viene con muchas apps instaladas, pero se las puede desinstalar, para sorpresa mia anda muy bien, fluido, la bateria dura todo el dia, y la camara en video..."
bateria,positiva,Samsung A15,"La cámara no es muy buena, la batería dura mucho demás funciones cumple bastante bien."
bateria,positiva,Samsung A15,"Esta bien previo calidad ,batería dura un dia , y no trae cargador."
bateria,positiva,Samsung A15,La batería dura muy poco! hasta pensé en devolverlo pero es un lío.
bateria,positiva,Samsung A15,"No muy bueno, la batería dura poco , y el cable del cargador, no es rápido."
bateria,positiva,Samsung A15,El producto está bueno pero por lo menos un cargador por que son muy saladitos precio calidad esta bien no un 10 pero bien duración de batería maso nomas no dura mucho no llega a 24 hs pero lo demás bien.
bateria,positiva,Samsung A15,"El producto me parece ineficiente, lo tuve que comprar porque se me rompió el otro celular y la verdad que el celular no anda ni la mitas que el g52 que tenia antes, el celular cada tanto se tilda, la batería no me dura todo el día y que venga sin ca..."
bateria,positiva,Samsung A15,La batería dura poco.
bateria,positiva,Samsung A15,No dura mucho tiempo la batería.
bateria,negativa,Samsung A15,"No es lo que esperaba. Siempre he usado samsung, pero este no dura nada la batería y cdo pongo a cargar. El cargador recalienta."
bateria,negativa,Samsung A15,"Me gusta pero no me encanta. La batería dura poco, fotos saca medio pelo. No es lo que esperaba."
bateria,negativa,Samsung A15,"No muy bueno, la batería dura poco , y el cable del cargador, no es rápido."
bateria,negativa,Samsung A15,La batería dura poco.
bateria,negativa,Samsung A15,Se tilda mucho y la bateria no dura nada.
camara,positiva,Motorola G32,"Muy conforme con el mot g 32. Velocidad súper. Camara excelente. La batería dura 2 días con uso normal. No me arrepiento de haberlo comprado y lo recomiendo porque trae cargador y funda, así no tenes gastos extras !."
camara,positiva,Motorola G32,"A las 3am saque está foto, y escuché a varios que de noche no saca buenas fotos."
camara,positiva,Motorola G32,"Buen celu, saca buenas fotos y video si lo sabes usar. Te recomiendo davinci resolve para editar y descargar una app profesional para controlar los parametros de exposicion, etc yo uso mcpro24fps."
camara,positiva,Motorola G32,La verdad tiene buena cámara y es rápido a la hora de buscar o bajar aplicaciones excelente.
camara,positiva,Motorola G32,"No es muy fluido, buena cámara y buena capacidad. La batería no esta durando tanto como deberia. Tal vez deba revisarle las configuraciones, tengo que usarlo un poco mas. En lineas grales esta bien."
camara,positiva,Samsung A15,"Esta muy lindo, tiene buena cámara. Lo único malo, que no trae cargador y es algo que debería tener porque es parte del equipo."
camara,positiva,Samsung A15,Acorde al precio muy buena camara y prestaciones.
camara,positiva,Samsung A15,"Tiene menos de una semana. Esperaba que sea más grande, y ojo que la batería no dura mucho, dura lo mismo que un promedio. Esperaba que sea más rendidor. Tiene buena cámara. Viene con el cable usb pero sin adaptador, hay que comprarle aparte."
camara,positiva,Samsung A15,"Buscaba un celular de gama media con más memoria y buena cámara. La verdad estoy muy conforme, es lo que necesitaba."
camara,positiva,Samsung A15,"Hace menos de un mes que lo tengo y hasta ahora me parece un excelente equipo, sin gastar demasiado es muy buen celular. La definición de pantalla es súper nítida, es ligero con las apps y me encanta el diseño en general, la cámara de 50mpx si bien n..."
camara,positiva,Samsung A15,Es um celular que saca buenas fotos( motivo por lo que lo compré y por la capacidad de guardar datos). No trae cargador y se descarga rápido.
camara,positiva,Samsung A15,"Muy buena cámara y gran duración de la batería. Lástima no trae cargador, que es parte del equipo y aunque parece un dato menor es un gasto más. Por eso no le doy cinco puntos."
camara,positiva,Samsung A15,"Buen producto, muy buena cámara tiene."
camara,positiva,Samsung A15,"Trabajo en herrería, necesitaba un celu para guerrear el día a día, buena cámara para las redes y hacer publicidad. Hace 1 mes lo tengo y la verdad bárbaro. No trae cargador, asi que tuve que gastar en uno $35 000 y lo carga rapidísimo. Dura todo el ..."
camara,positiva,Samsung A15,Muy buena calidad. Llevo una semana usándolo. Muy buena cámara y sonido. Buena resolución de pantalla y táctil. Lo mejor.
camara,positiva,Samsung A15,"El teléfono se lo compro mi hermana, esta muy bueno. Lo malo es que trae un cable con doble ficha c y no viene con la cuna para ese tipo de cable, así que tenes que comprar uno. El celu anda muy bien y tiene buena cámara."
cargador,positiva,Motorola G32,"Viene con cargador, protectores de celular y pantalla. Por el costo, no hay nada cercano en calidad en otras marcas."
cargador,positiva,Motorola G32,"Muy conforme con el mot g 32. Velocidad súper. Camara excelente. La batería dura 2 días con uso normal. No me arrepiento de haberlo comprado y lo recomiendo porque trae cargador y funda, así no tenes gastos extras !."
cargador,positiva,Samsung A15,"No trae cargador!!!!! osea que aunque parezca menor, hay que hacer un gasto más."
cargador,positiva,Samsung A15,"Esta muy lindo, tiene buena cámara. Lo único malo, que no trae cargador y es algo que debería tener porque es parte del equipo."
cargador,positiva,Samsung A15,"Recién lo estoy usando, no puedo calificar que tan bueno es, lastima que no trae cargador."
cargador,positiva,Samsung A15,"Se ve muy bueno, el sistema copia todo de tu celular anterior con facilidad. Noble doy más punta je porque no trae cargador. Me parece de cuarta comprar un celular que funciona a batería y que no traiga su cargador. Patético. Una pena xq de o contrar..."
cargador,positiva,Samsung A15,"No trae cargador , por el precio cualquier celular de ese precio lo trae , samsung dejo de ser el mejor."
cargador,positiva,Samsung A15,"Muy buen teléfono, lo único que no trae cargador, tendrían que agregarlo."
cargador,positiva,Samsung A15,La camara es mala. Es medio lento. No trae cargador ni auriculares lo cual me parece muy malo.
cargador,positiva,Samsung A15,"El precio en relación al producto es accesible. Lo malo y para criticar sería que no trae cargador ni funda, lo que con motorola no sucede. Cada vez los equipos traen menos accesorios."
cargador,positiva,Samsung A15,Me molesto que no venga con cargador.
cargador,positiva,Samsung A15,El teléfono se recalienta y no viene con cargador trae un cable q obligado hay q comprar un cargador q sale 100$ más la verdad no me gustó.
cargador,positiva,Samsung A15,La verdad estoy disconforme ya que el producto no vino con cargador y en ningún lado lo especifica. De haber sabido que no venía con cargador no realizaba la compra ya que todos los teléfonos incluyen cargador.
cargador,positiva,Samsung A15,No trae cargador.
cargador,positiva,Samsung A15,"Lo unico malo q no trae cargador, hay q hacer un gasto aparte."
cargador,positiva,Samsung A15,Es um celular que saca buenas fotos( motivo por lo que lo compré y por la capacidad de guardar datos). No trae cargador y se descarga rápido.
cargador,positiva,Samsung A15,"Muy buena cámara y gran duración de la batería. Lástima no trae cargador, que es parte del equipo y aunque parece un dato menor es un gasto más. Por eso no le doy cinco puntos."
cargador,positiva,Samsung A15,Lindo el celular pero no sabía que no venía con cargador! era un regalo para mí hermana.
cargador,positiva,Samsung A15,No lo voy a recomendar no trae cargador alguien me dice como lo cargo tengo que salir a comprar un cargador.
cargador,positiva,Samsung A15,"Trabajo en herrería, necesitaba un celu para guerrear el día a día, buena cámara para las redes y hacer publicidad. Hace 1 mes lo tengo y la verdad bárbaro. No trae cargador, asi que tuve que gastar en uno $35 000 y lo carga rapidísimo. Dura todo el ..."
cargador,positiva,Samsung A15,Es buen producto. Lo único para decir es que no trae cargador.
cargador,positiva,Samsung A15,"Muy lindo equipo, lo único malo es que no trae cargador."
cargador,positiva,Samsung A15,Es un celu medio pelo para zafar funciona. La batería dura casi 2 días es normal estéticamente hablando. No trae cargador es un garrón.
cargador,positiva,Samsung A15,Muy bueno pero lo malo es que no trae cargador ni audífonos.
cargador,positiva,Samsung A15,Todo correcto el teléfono pero no trae cargador ratas.
cargador,positiva,Samsung A15,"No trae cargador, viene solo con el cable usado!!!."
cargador,positiva,Samsung A15,Todo muy lindo pero no trae cargador.
cargador,positiva,Samsung A15,Más de 300 mil y no trae cargador.
cargador,positiva,Samsung A15,"Muy bueno, lástima q ya no viene con cargador."
cargador,positiva,Samsung A15,"Calidad precio sin duda. Lastima que no trae cargador. El resto, muy bueno."
cargador,positiva,Samsung A15,Lo único malo es que no viene con cargador!!!!.
cargador,positiva,Samsung A15,Me pareció un exelente producto. Solamente no se entiende por qué no trae cargador. .
cargador,positiva,Samsung A15,"Buenoo, pero no puede venir sin cargador!! dejen de robarnos !!!!!!!! antes venían con cargador, auriculares y cable usb. Muy capitalistas se volvieron."
cargador,positiva,Samsung A15,Le falta el cargador si igual se paga. Si trae cargador.
cargador,positiva,Samsung A15,"Tendrían que avisar que no trae cargador ,muy decepcionado,el cargador es fundamental,enojado."
cargador,positiva,Samsung A15,"Excelente producto,lo único malo, no trae cargador."
cargador,positiva,Samsung A15,Hola. No trae cargador y no dice las características que debe tener. Chau.
cargador,positiva,Samsung A15,"Esta bien previo calidad ,batería dura un dia , y no trae cargador."
cargador,positiva,Samsung A15,Le doy 3 estrellas por qué no trae cargador y no me gusta gastar de más por un producto que de fabrica tiene que tener cargador.
cargador,positiva,Samsung A15,Safa lo malo que no viene con cargador.
cargador,positiva,Samsung A15,"Es un buen producto, lo malo que no trae cargador y trae un cable que no sirve para conectar con otro cargador."
cargador,negativa,Samsung A15,"No trae cargador!!!!! osea que aunque parezca menor, hay que hacer un gasto más."
cargador,negativa,Samsung A15,"Esta muy lindo, tiene buena cámara. Lo único malo, que no trae cargador y es algo que debería tener porque es parte del equipo."
cargador,negativa,Samsung A15,"Recién lo estoy usando, no puedo calificar que tan bueno es, lastima que no trae cargador."
cargador,negativa,Samsung A15,"Se ve muy bueno, el sistema copia todo de tu celular anterior con facilidad. Noble doy más punta je porque no trae cargador. Me parece de cuarta comprar un celular que funciona a batería y que no traiga su cargador. Patético. Una pena xq de o contrar..."
cargador,negativa,Samsung A15,Caja dañado y sin cargador.
cargador,negativa,Samsung A15,"Me vino sin cargador, así vienen ahora?."
cargador,negativa,Samsung A15,"No trae cargador , por el precio cualquier celular de ese precio lo trae , samsung dejo de ser el mejor."
cargador,negativa,Samsung A15,El teléfono bien pero vino sin cargador y el cable que es lo único que vino con el teléfono no sirve vino con las dos entradas iguales.
cargador,negativa,Samsung A15,Sin cargador.
cargador,negativa,Samsung A15,Esta bueno del celu lo malo que viene sin cargador!!.
cargador,negativa,Samsung A15,"Muy bueno y rapido, gran capacidad de bateria, viene sin cargador."
cargador,negativa,Samsung A15,"Muy buen teléfono, lo único que no trae cargador, tendrían que agregarlo."
cargador,negativa,Samsung A15,Muy conforme con el producto. Excelente estado. Puntos en contra el que no traiga cargador. Sólo cable.
cargador,negativa,Samsung A15,"El tcelu parecía re lindo ,al mes se bloqueó solo y no había forma de desbloquearlo lo tuve que recetear y no anda muy bien ahora ,y eso que viene sin cargador es por algo no ????? no lo recomiendo."
cargador,negativa,Samsung A15,La camara es mala. Es medio lento. No trae cargador ni auriculares lo cual me parece muy malo.
cargador,negativa,Samsung A15,"El precio en relación al producto es accesible. Lo malo y para criticar sería que no trae cargador ni funda, lo que con motorola no sucede. Cada vez los equipos traen menos accesorios."
cargador,negativa,Samsung A15,"Vino sin cargador , no avisaron en ningún lado."
cargador,negativa,Samsung A15,"Malisimo ,y encima me viene sin cargador ,voy a acer una denuncia en defensa al consumidor."
cargador,negativa,Samsung A15,Es um celular que saca buenas fotos( motivo por lo que lo compré y por la capacidad de guardar datos). No trae cargador y se descarga rápido.
cargador,negativa,Samsung A15,"Muy buena cámara y gran duración de la batería. Lástima no trae cargador, que es parte del equipo y aunque parece un dato menor es un gasto más. Por eso no le doy cinco puntos."
cargador,negativa,Samsung A15,"Lo unico malo q no trae cargador, hay q hacer un gasto aparte."
cargador,negativa,Samsung A15,No trae cargador.
cargador,negativa,Samsung A15,Muy bueno. Rápido. No le puse 4 estrellas porque viene sin cargador.
cargador,negativa,Samsung A15,No lo voy a recomendar no trae cargador alguien me dice como lo cargo tengo que salir a comprar un cargador.
cargador,negativa,Samsung A15,Me pareció un exelente producto. Solamente no se entiende por qué no trae cargador. .
cargador,negativa,Samsung A15,Todo correcto el teléfono pero no trae cargador ratas.
cargador,negativa,Samsung A15,Muy bueno pero lo malo es que no trae cargador ni audífonos.
cargador,negativa,Samsung A15,Cuatro estrellas por qué vino sin cargador.
cargador,negativa,Samsung A15,"Por ahora todo bien. Muy rata samsung vendiendo ahora celulares sin cargador, pero el resto todo en orden, está bueno el equipo."
cargador,negativa,Samsung A15,"Trabajo en herrería, necesitaba un celu para guerrear el día a día, buena cámara para las redes y hacer publicidad. Hace 1 mes lo tengo y la verdad bárbaro. No trae cargador, asi que tuve que gastar en uno $35 000 y lo carga rapidísimo. Dura todo el ..."
cargador,negativa,Samsung A15,Es un celu medio pelo para zafar funciona. La batería dura casi 2 días es normal estéticamente hablando. No trae cargador es un garrón.
cargador,negativa,Samsung A15,Lo compre y no leí que venia sin cargador!!! debería traer en mi opinión. Lo demás todo bien.
cargador,negativa,Samsung A15,"Muy lindo equipo, lo único malo es que no trae cargador."
cargador,negativa,Samsung A15,Lo malo y no te dicen nada es que viene sin cargador.
cargador,negativa,Samsung A15,Es buen producto. Lo único para decir es que no trae cargador.
cargador,negativa,Samsung A15,"Calidad precio sin duda. Lastima que no trae cargador. El resto, muy bueno."
cargador,negativa,Samsung A15,Hasta ahora muy bueno lo único malo es que viene sin cargador.
cargador,negativa,Samsung A15,"Tendrían que avisar que no trae cargador ,muy decepcionado,el cargador es fundamental,enojado."
cargador,negativa,Samsung A15,"Excelente producto,lo único malo, no trae cargador."
cargador,negativa,Samsung A15,Hola. No trae cargador y no dice las características que debe tener. Chau.
cargador,negativa,Samsung A15,"El producto viene sin cargador de batería y presenta fallas de firmaware, ejecutare la garantía en cualquier momento."
cargador,negativa,Samsung A15,"Esta bien previo calidad ,batería dura un dia , y no trae cargador."
cargador,negativa,Samsung A15,Le doy 3 estrellas por qué no trae cargador y no me gusta gastar de más por un producto que de fabrica tiene que tener cargador.
cargador,negativa,Samsung A15,"Buenoo, pero no puede venir sin cargador!! dejen de robarnos !!!!!!!! antes venían con cargador, auriculares y cable usb. Muy capitalistas se volvieron."
cargador,negativa,Samsung A15,"No trae cargador, viene solo con el cable usado!!!."
cargador,negativa,Samsung A15,Todo muy lindo pero no trae cargador.
